POINT_ID,LC0_Desc,BDsample_0,coarse_mas,BDfine_0_2,coarse_vol,,
,Land Cover (Eurostat),BDsample_0_20_2018,coarse_mass_fraction,BDfine_0_20_2018_approx,coarse_volume_fraction_approx,,
48462776,Cropland,1.277,0.09,1.216,0.044,,
46662794,Woodland,0.895,0.14,0.808,0.048,,
46722786,Cropland,1.443,0.13,1.353,0.072,,
46722792,Cropland,1.073,0.16,0.965,0.066,,
46942846,Woodland,0.604,0.2,0.506,0.046,,
47022884,Woodland,0.808,0.15,0.72,0.047,,
47082858,Cropland,1.124,0.11,1.05,0.048,,
47122882,Cropland,1.269,0.19,1.133,0.093,,
47182862,Cropland,1.185,0.07,1.138,0.032,,
47202848,Grassland,0.857,0.03,0.84,0.01,,
47242774,Woodland,0.667,0.18,0.573,0.046,,
47322802,Grassland,1.344,0.18,1.215,0.093,,
47402780,Grassland,0.995,0.38,0.722,0.145,,
47462830,Cropland,1.22,0.13,1.13,0.061,,
47482810,Cropland,1.301,0.03,1.281,0.015,,
47622754,Woodland,0.112,0.45,0.063,0.019,,
47642862,Cropland,0.981,0.08,0.93,0.03,,
47662860,Cropland,1.145,0.11,1.07,0.048,,
47742758,Grassland,0.767,0.29,0.595,0.085,,
47802732,Grassland,0.937,0.19,0.815,0.068,,
47822764,Cropland,1.072,0.49,0.685,0.202,,
47822830,Artificial land,1.049,0.03,1.029,0.012,,
47942784,Cropland,1.056,0.17,0.941,0.069,,
47942860,Cropland,1.249,0.1,1.18,0.048,,
47942870,Cropland,1.54,0.06,1.501,0.036,,
47982796,Cropland,1.261,0.05,1.227,0.024,,
47982846,Cropland,1.143,0.31,0.913,0.136,,
48002872,Cropland,1.142,0.13,1.054,0.057,,
48082834,Woodland,0.819,0.17,0.718,0.054,,
48122780,Cropland,1.041,0.07,0.996,0.028,,
48162858,Cropland,1.303,0.02,1.29,0.01,,
48222820,Woodland,1.19,0.05,1.156,0.023,,
48242800,Cropland,1.276,0.12,1.193,0.059,,
45482622,Woodland,0.654,0.09,0.609,0.023,,
45722614,Woodland,0.192,0.17,0.161,0.013,,
45882618,Grassland,0.918,0.13,0.837,0.046,,
45902624,Woodland,0.162,0.14,0.141,0.009,,
45962662,Grassland,0.902,0.12,0.828,0.042,,
46022620,Woodland,0.297,0.28,0.221,0.032,,
46082614,Grassland,1.135,0.01,1.129,0.004,,
46362660,Woodland,0.31,0.18,0.259,0.021,,
46422624,Grassland,1.296,0.18,1.167,0.09,,
46442642,Woodland,0.661,0.18,0.568,0.046,,
46522626,Woodland,0.798,0.18,0.692,0.055,,
46542614,Woodland,0.551,0.08,0.516,0.017,,
46562632,Cropland,1.247,0.12,1.164,0.058,,
46722638,Grassland,1.042,0.17,0.928,0.068,,
46722642,Grassland,0.935,0.1,0.873,0.036,,
46802648,Woodland,0.252,0.14,0.22,0.014,,
46842660,Woodland,0.319,0.09,0.294,0.011,,
46882668,Woodland,0.425,0.08,0.396,0.013,,
47022650,Grassland,0.544,0.08,0.509,0.017,,
47042658,Woodland,0.414,0.12,0.371,0.019,,
